group_type,group,flag,n_total,n_pass,pct_pass
homogenized_class,C,has_full_astrometric_solution,940,940,100.0
homogenized_class,C,pass_ruwe_1p4,940,890,94.68085106382979
homogenized_class,C,pass_visibility_ge10,940,940,100.0
homogenized_class,C,pass_gof_al_3,940,779,82.87234042553192
homogenized_class,C,pass_excess_noise_sig_2,940,576,61.276595744680854
homogenized_class,C,pass_not_duplicated,940,889,94.57446808510639
homogenized_class,C,pass_ipd_multi_peak_2,940,912,97.02127659574468
homogenized_class,C,pass_ipd_harmonic_0p1,940,938,99.7872340425532
homogenized_class,C,pass_astrometry_baseline,940,840,89.36170212765957
homogenized_class,C,pass_astrometry_gof_sensitivity,940,744,79.14893617021276
homogenized_class,C,pass_astrometry_excess_noise_sensitivity,940,558,59.361702127659576
homogenized_class,C,pass_astrometry_enhanced,940,550,58.51063829787234
homogenized_class,L,has_full_astrometric_solution,184,184,100.0
homogenized_class,L,pass_ruwe_1p4,184,157,85.32608695652173
homogenized_class,L,pass_visibility_ge10,184,184,100.0
homogenized_class,L,pass_gof_al_3,184,133,72.28260869565217
homogenized_class,L,pass_excess_noise_sig_2,184,100,54.34782608695652
homogenized_class,L,pass_not_duplicated,184,175,95.1086956521739
homogenized_class,L,pass_ipd_multi_peak_2,184,171,92.93478260869566
homogenized_class,L,pass_ipd_harmonic_0p1,184,184,100.0
homogenized_class,L,pass_astrometry_baseline,184,150,81.52173913043478
homogenized_class,L,pass_astrometry_gof_sensitivity,184,128,69.56521739130434
homogenized_class,L,pass_astrometry_excess_noise_sensitivity,184,97,52.71739130434783
homogenized_class,L,pass_astrometry_enhanced,184,97,52.71739130434783
homogenized_class,T,has_full_astrometric_solution,332,332,100.0
homogenized_class,T,pass_ruwe_1p4,332,322,96.98795180722891
homogenized_class,T,pass_visibility_ge10,332,332,100.0
homogenized_class,T,pass_gof_al_3,332,289,87.04819277108433
homogenized_class,T,pass_excess_noise_sig_2,332,236,71.08433734939759
homogenized_class,T,pass_not_duplicated,332,320,96.3855421686747
homogenized_class,T,pass_ipd_multi_peak_2,332,322,96.98795180722891
homogenized_class,T,pass_ipd_harmonic_0p1,332,332,100.0
homogenized_class,T,pass_astrometry_baseline,332,310,93.37349397590361
homogenized_class,T,pass_astrometry_gof_sensitivity,332,277,83.43373493975903
homogenized_class,T,pass_astrometry_excess_noise_sensitivity,332,226,68.07228915662651
homogenized_class,T,pass_astrometry_enhanced,332,225,67.7710843373494
